InChIKey,E_cation,E_neutral,delta_e_deprot_dft_kcal
RATKDJDMBGPDPZ-UHFFFAOYSA-N,-675.046472020338,-674.6692523236842,230.4289334296721
IPMZWBRHUWBMSP-UHFFFAOYSA-N,-473.2942377908836,-472.8905206521803,247.05632935246595
HFQMBFOQLKGXEV-UHFFFAOYSA-N,-1133.2379550107407,-1132.8325649634903,248.10609531494683
CRPRBFHOCLDMMB-UHFFFAOYSA-N,-509.3546225158015,-508.9457368221924,250.29964652279412
ZRKGAZHRJTVZGW-UHFFFAOYSA-N,-837.2747602059433,-836.8648904186239,250.91717464928487
OOGXHYSEXNJMLD-UHFFFAOYSA-N,-1396.210149233661,-1395.7982394840897,252.1972702889898
VNYHGZAUUQMMDL-UHFFFAOYSA-N,-503.31469746935824,-502.8964417009536,256.1794572290758
ACGCNTKELWXJPN-UHFFFAOYSA-N,-456.2492070112114,-455.8252655377893,259.7472909939075
CLXFIGGGSODORK-UHFFFAOYSA-N,-705.8349813714783,-705.4107691158016,259.917209424044
ZMVNOEVSLYEOOM-UHFFFAOYSA-N,-858.1642531420066,-857.7369770327405,261.83980657835656
SMSKFNFTQZFBLB-UHFFFAOYSA-N,-420.4409904728112,-420.0132322900188,262.14231228328305
UEGYAKGLWSNMLV-UHFFFAOYSA-N,-1108.4775999952883,-1108.0477355512232,263.46401118656854
RBKFFSUUCLDQER-UHFFFAOYSA-N,-672.2587113694434,-671.8278503905113,264.089346256782
HVVRUQBMAZRKPJ-UHFFFAOYSA-N,-305.03124050058005,-304.5972624279045,266.04535211215523
PKQGMOQCRAMPKT-UHFFFAOYSA-N,-1247.2217458646892,-1246.7826574738776,269.25212515766117
KZYKDQNIIMATMJ-UHFFFAOYSA-N,-636.5066463849678,-636.0675007275555,269.28806049215683
PMPUSEWFQVHUNO-UHFFFAOYSA-N,-421.6823992130895,-421.2412436784128,270.549277517189
PDIYCCLDBKWBTK-UHFFFAOYSA-N,-575.2553098592279,-574.8136015963536,270.8961196976881
PUDUFYOWZAQFJU-UHFFFAOYSA-N,-554.3197093174227,-553.8767932905567,271.6540030448454
KDNXGTHUHICKOJ-UHFFFAOYSA-N,-657.4193788582637,-656.9753043098087,272.38098631777075
UVWIHFMAEQJUPG-UHFFFAOYSA-N,-894.4109121966831,-893.9624610046295,275.12737164018966
IRCJCNRXJWPRQT-UHFFFAOYSA-N,-635.3983874812043,-634.9488788484263,275.7909257129945
RMEQTBVGGNKAEQ-UHFFFAOYSA-N,-454.9750997915265,-454.52385298725216,276.88164479435915
VPAFDQIFHJWCBK-UHFFFAOYSA-N,-725.188117401131,-724.7328922703892,279.3780823433203
